[ 08.07.2017 || 17:17:45 ] => ----------------------------------------------------------
[ 08.07.2017 || 17:17:45 ] => ------------------------NEW RUN---------------------------
[ 08.07.2017 || 17:17:45 ] => ----------------------------------------------------------
[ 08.07.2017 || 17:18:18 ] => [DETECTION] frame no. 1, exec time: 30
[ 08.07.2017 || 17:18:18 ] => [DETECTION] frame no. 2, exec time: 32
[ 08.07.2017 || 17:18:18 ] => [DETECTION] frame no. 3, exec time: 25
[ 08.07.2017 || 17:18:18 ] => [DETECTION] frame no. 4, exec time: 23
[ 08.07.2017 || 17:18:18 ] => [DETECTION] frame no. 5, exec time: 24
[ 08.07.2017 || 17:18:18 ] => [DETECTION] frame no. 6, exec time: 26
[ 08.07.2017 || 17:18:18 ] => [DETECTION] frame no. 7, exec time: 29
[ 08.07.2017 || 17:18:18 ] => [DETECTION] frame no. 8, exec time: 27
[ 08.07.2017 || 17:18:19 ] => [DETECTION] frame no. 9, exec time: 33
[ 08.07.2017 || 17:18:19 ] => [DETECTION] frame no. 10, exec time: 27
[ 08.07.2017 || 17:18:19 ] => [DETECTION] frame no. 11, exec time: 29
[ 08.07.2017 || 17:18:19 ] => [DETECTION] frame no. 12, exec time: 23
[ 08.07.2017 || 17:18:19 ] => [DETECTION] frame no. 13, exec time: 30
[ 08.07.2017 || 17:18:19 ] => [DETECTION] frame no. 14, exec time: 29
[ 08.07.2017 || 17:18:19 ] => [DETECTION] frame no. 15, exec time: 32
[ 08.07.2017 || 17:18:19 ] => [DETECTION] frame no. 16, exec time: 27
[ 08.07.2017 || 17:18:19 ] => [DETECTION] frame no. 17, exec time: 28
[ 08.07.2017 || 17:18:19 ] => [DETECTION] frame no. 18, exec time: 28
[ 08.07.2017 || 17:18:19 ] => [DETECTION] frame no. 19, exec time: 33
[ 08.07.2017 || 17:18:19 ] => [DETECTION] frame no. 20, exec time: 27
[ 08.07.2017 || 17:18:19 ] => [DETECTION] frame no. 21, exec time: 30
[ 08.07.2017 || 17:18:19 ] => [DETECTION] frame no. 22, exec time: 26
[ 08.07.2017 || 17:18:19 ] => [DETECTION] frame no. 23, exec time: 32
[ 08.07.2017 || 17:18:19 ] => [DETECTION] frame no. 24, exec time: 31
[ 08.07.2017 || 17:18:19 ] => [DETECTION] frame no. 25, exec time: 32
[ 08.07.2017 || 17:18:19 ] => [DETECTION] frame no. 26, exec time: 42
[ 08.07.2017 || 17:18:19 ] => [DETECTION] frame no. 27, exec time: 38
[ 08.07.2017 || 17:18:19 ] => [DETECTION] frame no. 28, exec time: 35
[ 08.07.2017 || 17:18:20 ] => [DETECTION] frame no. 29, exec time: 45
[ 08.07.2017 || 17:18:20 ] => [DETECTION] frame no. 30, exec time: 44
[ 08.07.2017 || 17:18:20 ] => [DETECTION] frame no. 31, exec time: 33
[ 08.07.2017 || 17:18:20 ] => [DETECTION] frame no. 32, exec time: 36
[ 08.07.2017 || 17:18:20 ] => [DETECTION] frame no. 33, exec time: 32
[ 08.07.2017 || 17:18:20 ] => [DETECTION] frame no. 34, exec time: 30
[ 08.07.2017 || 17:18:20 ] => [DETECTION] frame no. 35, exec time: 37
[ 08.07.2017 || 17:18:20 ] => [DETECTION] frame no. 36, exec time: 32
[ 08.07.2017 || 17:18:20 ] => [DETECTION] frame no. 37, exec time: 44
[ 08.07.2017 || 17:18:20 ] => [DETECTION] frame no. 38, exec time: 34
[ 08.07.2017 || 17:18:20 ] => [DETECTION] frame no. 39, exec time: 36
[ 08.07.2017 || 17:18:20 ] => [DETECTION] frame no. 40, exec time: 25
[ 08.07.2017 || 17:18:20 ] => [DETECTION] frame no. 41, exec time: 29
[ 08.07.2017 || 17:18:20 ] => [DETECTION] frame no. 42, exec time: 33
[ 08.07.2017 || 17:18:20 ] => [DETECTION] frame no. 43, exec time: 34
[ 08.07.2017 || 17:18:20 ] => [DETECTION] frame no. 44, exec time: 28
[ 08.07.2017 || 17:18:20 ] => [DETECTION] frame no. 45, exec time: 25
[ 08.07.2017 || 17:18:20 ] => [DETECTION] frame no. 46, exec time: 28
[ 08.07.2017 || 17:18:20 ] => [DETECTION] frame no. 47, exec time: 37
[ 08.07.2017 || 17:18:21 ] => [DETECTION] frame no. 48, exec time: 35
[ 08.07.2017 || 17:18:21 ] => [DETECTION] frame no. 49, exec time: 37
[ 08.07.2017 || 17:18:21 ] => [DETECTION] frame no. 50, exec time: 42
[ 08.07.2017 || 17:18:21 ] => [DETECTION] frame no. 51, exec time: 43
[ 08.07.2017 || 17:18:21 ] => [DETECTION] frame no. 52, exec time: 27
[ 08.07.2017 || 17:18:21 ] => [DETECTION] frame no. 53, exec time: 35
[ 08.07.2017 || 17:18:21 ] => [DETECTION] frame no. 54, exec time: 29
[ 08.07.2017 || 17:18:21 ] => [DETECTION] frame no. 55, exec time: 25
[ 08.07.2017 || 17:18:21 ] => [DETECTION] frame no. 56, exec time: 31
[ 08.07.2017 || 17:18:21 ] => [DETECTION] frame no. 57, exec time: 50
[ 08.07.2017 || 17:18:21 ] => [DETECTION] frame no. 58, exec time: 40
