[ 08.07.2017 || 17:17:45 ] => ----------------------------------------------------------
[ 08.07.2017 || 17:17:45 ] => ------------------------NEW RUN---------------------------
[ 08.07.2017 || 17:17:45 ] => ----------------------------------------------------------
[ 08.07.2017 || 17:18:18 ] => [TRACK] frame no. 1, exec time: 25
[ 08.07.2017 || 17:18:18 ] => [TRACK] frame no. 2, exec time: 0
[ 08.07.2017 || 17:18:18 ] => [TRACK] frame no. 3, exec time: 1
[ 08.07.2017 || 17:18:18 ] => [TRACK] frame no. 4, exec time: 7
[ 08.07.2017 || 17:18:18 ] => [TRACK] frame no. 5, exec time: 6
[ 08.07.2017 || 17:18:18 ] => [TRACK] frame no. 6, exec time: 1
[ 08.07.2017 || 17:18:18 ] => [TRACK] frame no. 7, exec time: 0
[ 08.07.2017 || 17:18:18 ] => [TRACK] frame no. 8, exec time: 5
[ 08.07.2017 || 17:18:19 ] => [TRACK] frame no. 9, exec time: 2
[ 08.07.2017 || 17:18:19 ] => [TRACK] frame no. 10, exec time: 0
[ 08.07.2017 || 17:18:19 ] => [TRACK] frame no. 11, exec time: 0
[ 08.07.2017 || 17:18:19 ] => [TRACK] frame no. 12, exec time: 1
[ 08.07.2017 || 17:18:19 ] => [TRACK] frame no. 13, exec time: 1
[ 08.07.2017 || 17:18:19 ] => [TRACK] frame no. 14, exec time: 0
[ 08.07.2017 || 17:18:19 ] => [TRACK] frame no. 15, exec time: 0
[ 08.07.2017 || 17:18:19 ] => [TRACK] frame no. 16, exec time: 6
[ 08.07.2017 || 17:18:19 ] => [TRACK] frame no. 17, exec time: 1
[ 08.07.2017 || 17:18:19 ] => [TRACK] frame no. 18, exec time: 5
[ 08.07.2017 || 17:18:19 ] => [TRACK] frame no. 19, exec time: 0
[ 08.07.2017 || 17:18:19 ] => [TRACK] frame no. 20, exec time: 0
[ 08.07.2017 || 17:18:19 ] => [TRACK] frame no. 21, exec time: 0
[ 08.07.2017 || 17:18:19 ] => [TRACK] frame no. 22, exec time: 0
[ 08.07.2017 || 17:18:19 ] => [TRACK] frame no. 23, exec time: 1
[ 08.07.2017 || 17:18:19 ] => [TRACK] frame no. 24, exec time: 1
[ 08.07.2017 || 17:18:19 ] => [TRACK] frame no. 25, exec time: 5
[ 08.07.2017 || 17:18:19 ] => [TRACK] frame no. 26, exec time: 0
[ 08.07.2017 || 17:18:19 ] => [TRACK] frame no. 27, exec time: 0
[ 08.07.2017 || 17:18:19 ] => [TRACK] frame no. 28, exec time: 1
[ 08.07.2017 || 17:18:20 ] => [TRACK] frame no. 29, exec time: 0
[ 08.07.2017 || 17:18:20 ] => [TRACK] frame no. 30, exec time: 1
[ 08.07.2017 || 17:18:20 ] => [TRACK] frame no. 31, exec time: 1
[ 08.07.2017 || 17:18:20 ] => [TRACK] frame no. 32, exec time: 0
[ 08.07.2017 || 17:18:20 ] => [TRACK] frame no. 33, exec time: 1
[ 08.07.2017 || 17:18:20 ] => [TRACK] frame no. 34, exec time: 2
[ 08.07.2017 || 17:18:20 ] => [TRACK] frame no. 35, exec time: 0
[ 08.07.2017 || 17:18:20 ] => [TRACK] frame no. 36, exec time: 5
[ 08.07.2017 || 17:18:20 ] => [TRACK] frame no. 37, exec time: 0
[ 08.07.2017 || 17:18:20 ] => [TRACK] frame no. 38, exec time: 1
[ 08.07.2017 || 17:18:20 ] => [TRACK] frame no. 39, exec time: 1
[ 08.07.2017 || 17:18:20 ] => [TRACK] frame no. 40, exec time: 0
[ 08.07.2017 || 17:18:20 ] => [TRACK] frame no. 41, exec time: 0
[ 08.07.2017 || 17:18:20 ] => [TRACK] frame no. 42, exec time: 4
[ 08.07.2017 || 17:18:20 ] => [TRACK] frame no. 43, exec time: 1
[ 08.07.2017 || 17:18:20 ] => [TRACK] frame no. 44, exec time: 7
[ 08.07.2017 || 17:18:20 ] => [TRACK] frame no. 45, exec time: 1
[ 08.07.2017 || 17:18:20 ] => [TRACK] frame no. 46, exec time: 1
[ 08.07.2017 || 17:18:20 ] => [TRACK] frame no. 47, exec time: 0
[ 08.07.2017 || 17:18:21 ] => [TRACK] frame no. 48, exec time: 1
[ 08.07.2017 || 17:18:21 ] => [TRACK] frame no. 49, exec time: 3
[ 08.07.2017 || 17:18:21 ] => [TRACK] frame no. 50, exec time: 1
[ 08.07.2017 || 17:18:21 ] => [TRACK] frame no. 51, exec time: 0
[ 08.07.2017 || 17:18:21 ] => [TRACK] frame no. 52, exec time: 1
[ 08.07.2017 || 17:18:21 ] => [TRACK] frame no. 53, exec time: 1
[ 08.07.2017 || 17:18:21 ] => [TRACK] frame no. 54, exec time: 6
[ 08.07.2017 || 17:18:21 ] => [TRACK] frame no. 55, exec time: 6
[ 08.07.2017 || 17:18:21 ] => [TRACK] frame no. 56, exec time: 10
[ 08.07.2017 || 17:18:21 ] => [TRACK] frame no. 57, exec time: 1
[ 08.07.2017 || 17:18:21 ] => [TRACK] frame no. 58, exec time: 3
[ 08.07.2017 || 17:18:21 ] => [TRACK] frame no. 59, exec time: 1
